,Sludinājumi,Iela,Ist.,m2,Stāvs,Sērija,"Cena, m2",Cena,URL,Region
23,Pārdod 2 istabu dzīvokli. Dzīvoklis sastāv no caurstaigājamas vi,Krustpils 66,2,38,3/3,Hrušč.,842 €,"32,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/dhepl.html,kengarags
24,"Kompakts un ekonomiski izdevīgs dzīvoklis labā vietā, netālu no ",Maskavas 250 k-3,1,30,2/5,Hrušč.,"1,000 €","30,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/gfjdn.html,kengarags
25,"Ремонт, стелопакеты, мет. дверь, встроенная кухня и шкаф, мебель",Aglonas 16,3,60,4/5,LT proj.,942 €,"56,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/ejkch.html,kengarags
26,"Pārdodam dzīvokli netālu no promenades. Gaišs, silts, plašs. Nav",Glūdas 2,2,43,5/5,LT proj.,767 €,"33,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/ixcfl.html,kengarags
27,"Предлагаем купить красивую и уютную 2-комнатную квартиру. 

Дв",Aglonas 10/3,2,47,2/5,LT proj.,979 €,"46,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/bbipdk.html,kengarags
28,"Продаю квартиру со всем, что видно на фото. Хорошее удобное мест",Lokomotīves 72,3,57,1/9,467.,840 €,"47,900  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/gjbgc.html,kengarags
29,"Квартира для тех - кто НЕ хочет заниматься ремонтом. 
Нужно лиш",Maskavas 268/5,3,60,3/5,Hrušč.,942 €,"56,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/epnde.html,kengarags
0,Trīsistabu dzīvoklis ar uzlabotu plānojumu. Viesistaba apvienota,Glūdas 6,3,60,4/5,LT proj.,"1,017 €","61,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/beghbf.html,kengarags
1,"Продам квартиру с мебелью. Есть балкон, две комнаты изолированны",Maskavas 254,3,60,2/5,LT proj.,883 €,"53,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/gljdf.html,kengarags
2,"Pārdodu 2 istabu dzīvokli:
Jaunais projekts Prūšu ielā 4.
Zeme",Prūšu 4,2,46,3/5,Jaun.,"1,259 €","57,912  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/ahepb.html,kengarags
3,Предлагаем купить теплую и уютную 3-комнатную квартиру на самом ,Maskavas 268/7,3,59,5/5,LT proj.,805 €,"47,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/ejkki.html,kengarags
4,"C видом на Даугаву и лебединое гнездо. С ремонтом. 
Квартира у ",Rencēnu 10,3,59,2/5,LT proj.,949 €,"56,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/idelo.html,kengarags
5,Ar romantisku skatu uz Daugavu. Jaunu īpašnieku meklē ekonomisks,Aviācijas 9,2,38,5/5,LT proj.,895 €,"34,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/cihin.html,kengarags
6,Zaļā un klusā vietā. Saimnieks pārdod vai maina uz mazāko ar jūs,Maltas 22,3,67,3/5,LT proj.,731 €,"49,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/noxko.html,kengarags
7,"Квартира готова к ремонту - освобождена, без отягощений. 

Зак",Salaspils 2,3,60,4/9,467.,748 €,"44,900  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/noegd.html,kengarags
8,"Pirmais zemais stāvs, daži pakāpieni uz leju. Sauss, centrālā ap",Maskavas 381,1,17,1/4,Staļina,517 €,"8,790  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/dbccc.html,kengarags
9,"Pārdod dzīvokli labā mājā (mainīti stāvvadi, jauns jumts, kāpņut",Prūšu 22,2,40,5/5,Hrušč.,938 €,"37,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/djlki.html,kengarags
