,Sludinājumi,Iela,Ist.,m2,Stāvs,Sērija,"Cena, m2",Cena,URL,Region
19,"Īpašnieks pārdod vienistabas dzīvokli Rīgas centrā, klusā vietā,",Zvaigžņu 31,1,20,1/2,P. kara,425 €,"8,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bcngm.html,centre
20,"Две спальни, окна выходят на разные стороны дома, тихий двор. Во",Brīvības 156 k-1,3,57,4/5,Specpr.,"1,053 €","60,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/dgilo.html,centre
21,"Renovēta māja
- renovēta kāpņu telpa
- gāzes apkure
- siltā g",Strēlnieku 13,3,74,4/5,P. kara,"2,108 €","156,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/cbojk.html,centre
22,"Izcils dzīvoklis, izcili labā mājā, 2006. gada labākais projekts",Artilērijas 33a,2,58,3/6,Jaun.,"2,233 €","129,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ahiog.html,centre
23,"Солнечная, уютная квартира-студия в тихом уголке центра города. ",Tallinas 41b,1,36,1/2,Specpr.,736 €,"26,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ejhcd.html,centre
24,"Lielisks dzīvoklis - jaunai paaudzei, birojam vai investīcijām. ",Briāna 4,2,52,2/5,P. kara,"1,854 €","96,400  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/cpbfc.html,centre
25,"Pārdodas Omulīgs un gaišs divistabu ar visām ērtibām, dzīvoklis ",Stabu 116,2,31,4/6,P. kara,"1,774 €","55,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bebjop.html,centre
26,"Īpašneks pārdod gaišu divistabu dzivokli ar visām ērtibām, dzivo",Stabu 116,2,41,4/6,P. kara,"1,829 €","75,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bconeb.html,centre
27,"Jauni dzīvokļi ar pilnu apdari aktīvajā centrā. 
 
 1)Plānojum",Birznieka-Upīša 10..,3,65,2/6,Renov.,"2,200 €","143,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/cdoik.html,centre
28,"Jauni dzīvokļi ar pilnu apdari aktīvajā centrā. 
 
 1)Plānojum",Birznieka-Upīša 10..,2,41,2/6,Renov.,"2,245 €","92,025  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/dmmgi.html,centre
29,Saimnieks pārdod 2- istabu mebelētu dzīvokli Staļina ēkā. 2 izol,Eksporta 10,2,50,5/5,Staļina,"1,530 €","76,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ahdjn.html,centre
0,"Viss iekļauts. Pilnīgi remontēts. 
Plašs, gaišs studio tipa dzī",Matīsa 84,1,25,2/2,M. ģim.,880 €,"22,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ahpde.html,centre
1,Jauns dzīvoklis slēgtā dzīvojamā kompleksā Grīziņkalna Republika,Asara 12/5,3,60,4/5,Renov.,"2,083 €","125,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/adkpc.html,centre
2,Продаёт сам хозяин. Продаётся квартира в самом центре. Вокруг оч,Eksporta 2a,3,79,5/5,Hrušč.,"1,595 €","125,970  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/dedje.html,centre
3,"Pārdod četristabu dzīvokli ar gāzes apkuri, divas istabas izolēt",Ģertrūdes 135,4,110,2/5,P. kara,"1,064 €","117,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/goxie.html,centre
4,"Gāzes apkure, studio tipa dzīvoklis. Mainītas visas elektroinsta",Pērnavas 65,1,22,1/5,Specpr.,"1,455 €","32,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bhxcn.html,centre
5,Var dalīt vairākos dzīvokļos. Divas ieejas. Autonoma gāzes apkur,Skolas 36,6,176,4/4,P. kara,"1,125 €","198,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/dmhfn.html,centre
6,"Šedevrs gaumes, kvalitātes un ērtību baudītājiem, pasaulē godalg",Strēlnieku 8,4,105,5/7,Jaun.,"2,732 €","286,811  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/cnccf.html,centre
7,"Šedevrs gaumes, kvalitātes un ērtību baudītājiem, pasaulē godalg",Strēlnieku 8,3,66,4/7,Jaun.,"2,618 €","172,783  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bpblg.html,centre
8,Продается 3х комнатная квартира в новом проекте Art Luxury House,Strēlnieku 7,3,94,2/7,Jaun.,"2,388 €","224,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/alxoo.html,centre
9,Классическая квартира в Тихом центре в историческом доме (Архите,Valdemāra 37,3,77,4/6,Renov.,"2,073 €","159,600  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/egkin.html,centre
10,Bēniņu 2-līmeņu dzīvoklis. Aicinām iegādāties 4 istabu dzīvokļi ,Avotu 5,4,88,56/6,Renov.,"1,995 €","175,600  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/fjcki.html,centre
11,"Sagatavots bankas vērtējums - Eur 93 000
Piedāvājam 2-istabu dz",Miera 93,2,52,6/7,Jaun.,"1,769 €","92,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/alfnl.html,centre
12,Steidzmi tiek pārdodots divistabu dzīvoklis jaunajā projektā Alb,Katrīnas d. 17,2,67,2/6,Jaun.,"1,193 €","79,900  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/adclx.html,centre
13,Steidzami tiek pārdots četristabu dzīvoklis jaunajā projektā Alb,Katrīnas d. 17,4,102,2/6,Jaun.,"1,166 €","118,900  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/abxol.html,centre
14,"Ekskluzīvs, gaišs un mājīgs dzīvoklis elitārā, renovētā jūgendst",Ģertrūdes 30,5,139,3/6,Renov.,"2,302 €","320,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bmfhi.html,centre
15,Tiek pārdots plašs divistabu dzīvoklis ar visu nepieciešamo sadz,Lugažu 12,2,66,2/2,Staļina,985 €,"65,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/binmn.html,centre
16,"Dzīvoklis ar autostāvvietu pagalmā Klusajā centrā, moderns, gaiš",Zaļā 10,3,87,2/5,P. kara,"1,940 €","168,800  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/hxjgm.html,centre
17,"Iegūsti savā īpašumā stilīgu mājokli Rīgas klusajā centrā. 
Eks",Ganu 6,4,113,7/7,P. kara,"2,212 €","250,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/cpgfl.html,centre
18,"Pagalma māja. Īpašums sastāv no 2 lielam telpas 95 m2 lielumā, 2",Maskavas 108,2,100,1/2,P. kara,159 €,"15,890  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bkkbm.html,centre
19,Gaišs jauks dzīvoklis Rīgas centrā. Piemērots jaunai ģimenei vai,Brīvības 133,3,57,4/4,P. kara,"1,395 €","79,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/dpjnh.html,centre
20,"Skaists divlīmeņu Town House dzīvoklis ""Grīziņkalna republikā"" ",Asara 12,4,128,1/2,Renov.,"1,875 €","240,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ahexl.html,centre
21,"Steidzami, ar atsevišķu ieeju, ļoti silts 3 istabu dzīvoklis pil",Miera 97,3,77,1/5,Hrušč.,688 €,"53,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/gegpi.html,centre
22,Lieliska iespēja iegādāties labiekārtotu trīs istabu dzīvokli ar,Upes 2,3,91,1/4,Staļina,"1,005 €","91,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/alolf.html,centre
23,"Pārdošanā 2 istabu dzīvoklis Vecrīgas sirdī. 
Dzīvoklis ir ļoti",Skārņu 25,2,45,3/5,Specpr.,"1,889 €","85,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/gnefm.html,centre
24,"Pārdod dzīvokli blakus Vērmanes dārzam. 

+ pagalmā vieta auto",Merķeļa 6,3,68,4/5,P. kara,"1,412 €","96,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/eoixd.html,centre
25,Pārdod dzīvokli bez apdares jaunajā premium klases projektā ar s,Klijānu 16,3,64,7/9,Jaun.,"1,438 €","92,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/cfxbo.html,centre
26,"Компактная, уютная, теплая, светлая и экономичная - так можно ох",Indrānu 9,2,44,3/4,P. kara,"1,034 €","45,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/feggm.html,centre
27,"Pārdodu mansarda dzīvokli tikko pēc kapitālā remonta:

+ koka ",Miera 105,3,71,6/6,Renov.,"1,823 €","129,402  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/cecjd.html,centre
28,Kompakts mansarda dzīvoklis renovētajā jūgendstila projektā “Bar,Barona 24/26,1,25,6/6,Renov.,"3,000 €","75,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/afbkb.html,centre
29,Mājīgs mansarda dzīvoklis renovētajā jūgendstila projektā “Baron,Barona 24/26,2,41,6/6,Renov.,"2,506 €","102,750  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/adxhi.html,centre
0,"Plašs dzīvoklis renovētā mājā, klusajā centrā. 

Dzīvoklī piec",Eksporta 6,5,132,3/6,Renov.,"1,286 €","169,800  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/eicfo.html,centre
1,Продается светлая и уютная 2-комнатная квартира со свежим и капи,Ganību d. 15,2,41,1/3,P. kara,"1,437 €","58,900  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bknji.html,centre
2,"Īpašnieks pārdod dzīvokli, dzīvoklis atrodās tuvu centram ērtā l",Maskavas 65,2,41,3/5,Hrušč.,895 €,"36,700  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/adign.html,centre
3,Собственник продаю уютную 3 комнатную квартиру в самом серце Риг,Merķeļa 6,3,68,4/5,Renov.,"1,397 €","95,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/aonkj.html,centre
4,"Dzīvoklis Rīgas centā - Blaumaņa ielā 21, pēc ļoti kvalitatīva k",Blaumaņa 21,2,80,1/7,P. kara,"1,763 €","141,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/dgxcn.html,centre
5,"Светлая, уютная и полностью меблированная 2-комнатная квартира в",Klijānu 3,2,50,2/5,P. kara,"1,360 €","68,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/albig.html,centre
6,Īpašnieks pārdod ekskluzīvu dzīvokli ar skatu uz Vērmanes dārzu.,Barona 14,4,155,2/5,Renov.,"2,800 €","434,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/hxbij.html,centre
7,"Kompakts 3 istabu dzīvoklis renovētā ēkā. 
Dzīvoklis ir izvieto",Blaumaņa 12,3,65,4/6,Renov.,"2,364 €","153,663  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bmghm.html,centre
8,Продаёт сам хозяин. Продаётся 3-х комнатная квартира в очень уют,Eksporta 2,3,60,5/4,Staļina,"1,692 €","101,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bgpkd.html,centre
9,Kluss un gaišs 2-istabu dzīvoklis tiek pārdots sakarā ar iemītni,Klusā 17A,2,56,5/7,Renov.,"1,518 €","85,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ahhxi.html,centre
10,Pārdodu saulainu 3 istabu dzīvokli ar logiem uz mājas abām pusēm,Vesetas 10,3,97,6/7,Specpr.,"1,536 €","149,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/fonhm.html,centre
11,"Īpašnieks pārdod divistabu dzīvokli Rīgā, Stabu ielā. 
Divas iz",Stabu 95/1,2,58,2/5,P. kara,"1,221 €","70,800  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bobfc.html,centre
12,Pārdošanā saulains 3-istabu dzīvoklis labā stāvoklī Klusajā cent,Zaļā 4,3,100,2/7,Specpr.,"1,550 €","155,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bpjpg.html,centre
13,Divas autostāvvietas ēkas pagalmā. Dzīvoklis Rīgas centrā pēc re,Pērnavas 10,3,80,5/5,Staļina,"1,638 €","131,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/adipg.html,centre
14,"Pārdod trīs istabu dzīvokli Rīgas vēsturiskajā centrā, Baznīcas,",Baznīcas 39,3,94,5/5,P. kara,"2,340 €","220,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bcjpij.html,centre
15,Pārdod dzīvokli bez apdares jaunajā premium klases projektā ar s,Klijānu 16,3,99,7/9,Jaun.,"1,293 €","128,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/beglih.html,centre
16,Pārdošanā jauks divistabu dzīvoklis Rīgas klusajā Centrā projekt,Antonijas 16a,2,53,5/7,Jaun.,"3,113 €","165,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ecikp.html,centre
17,Kvartāls Centrus ir spilgts mūsdienu arhitektūras piemērs Rīgas ,Dzirnavu 83,3,84,5/7,Jaun.,"2,976 €","250,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/apchl.html,centre
18,"Pārdodam 2 istabu dzīvokli Centrā. 
Izcila infrastruktūra, blak",Bruņinieku 104,2,53,4/4,Renov.,"1,358 €","72,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/gxnbm.html,centre
19,"Pārdodam 4 istabu dzīvokli pilsētas centrā. 
Izcila infrastrukt",Čaka 77,4,110,4/5,P. kara,"1,409 €","155,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ecpcd.html,centre
20,"Квартира на продажу в Тихом в центре - Медниеку 7. 
Уютная манс",Mednieku 7,2,72,5/5,Renov.,"3,401 €","244,900  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/cxkfd.html,centre
21,"Pārdod 3 istabu dzīvokli prestižajā Rīgas klusajā centrā. 
+ sl",Antonijas 6a,3,70,2/5,Renov.,"2,357 €","165,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/gbxll.html,centre
22,Laba cena pēdējam dzīvoklim ar autostāvvietu kapitāli renovētā ē,Baznīcas 26A,3,104,6/6,Renov.,"1,913 €","199,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/hddxj.html,centre
23,"Предлагаем приобрести светлую, 3-х комнатную квартиру, расположе",Lāčplēša 11,3,102,2/7,Jaun.,"3,570 €","364,140  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bcihbj.html,centre
24,"Lv/rus/eng
Pārdod kapitāli izremontētu 3-istabu dzīvokli Rīgas ",Strēlnieku 19,3,79,1/3,P. kara,"1,709 €","135,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/hbelm.html,centre
25,"Pārdod labu 3 istabu, divstāvu dzīvokli atjaunotā mājā par labu ",Lāčplēša 87e,3,81,4/5,Renov.,"1,111 €","90,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/fgkbb.html,centre
26,Pārdod mēbelētu piecu istabu dzīvokli renovētā namā Lāčplēša iel,Lāčplēša 13,5,92,4/6,Renov.,"1,996 €","183,677  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bcliei.html,centre
27,"Uz izmaksu, palīdzēšu noformēt aizdevumu pie Jūsu pašreizējiem f",Barona 80,1,32,3/4,Staļina,"1,494 €","47,800  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ddngl.html,centre
28,"Labs dzīvoklis investīcijai, birojam vai sev pašam. 
Piedāvājam",Blaumaņa 12,1,35,5/7,Renov.,"2,563 €","89,700  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/aempj.html,centre
29,Saimnieks pārdod dzīvokli. Starpniekus lūdzu nezvanīt. Privatizē,Čaka 132,2,46,5/5,P. kara,"1,435 €","66,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ajchd.html,centre
0,"Pārdod 2-istabu dzīvokli Rīgas centrā, Avotu ielā 50 kvm platībā",Avotu 16,2,50,1/2,P. kara,792 €,"39,600  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/djkbn.html,centre
1,Saulains un kluss dzīvoklis ar mājīguma sajūtu pašā Rīgas centrā,Valdemāra 77,2,55,3/5,P. kara,"2,145 €","118,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/aifno.html,centre
2,"Piedāvāju dzīvokli nr 14. kultūrvēsturiskā ēkā Blaumana iela 12",Blaumaņa 12,3,62,1/6,Renov.,"2,196 €","136,180  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/dilof.html,centre
3,Reta iespēja iegādāties Nerenovētu 6 istabu dzīvoklis Bulvāra Rī,Stabu 46,6,160,5/6,P. kara,"1,013 €","162,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bhkke.html,centre
4,Mājīgs dzīvoklis ar dizainera veidotu apdari. Klusa sētas māja -,Indrānu 15,2,54,1/5,P. kara,"1,815 €","98,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/abihn.html,centre
5,Gāzes apkure. Brīnišķīgs 2-līmeņu mansardtipa dzīvoklis ar panor,Ģertrūdes 62,6,150,6/7,P. kara,"1,460 €","219,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/aikei.html,centre
6,Brīnišķīgs saulains dzīvoklis ar balkonu un panorāmas skatu uz R,Barona 64,4,123,4/6,P. kara,"2,114 €","260,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/befimk.html,centre
7,"Nenokavē. Remontējams, Investīciju objekts. Ekskluzīvs dzīvoklis",Barona 125,5,158,1/5,Staļina,443 €,"70,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/gmjgj.html,centre
8,"Īpašniece pārdod dzīvokli Klusā ielā 21, fasādes mājā, logi vērs",Klusā 21,1,20,4/5,P. kara,"1,700 €","34,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/adjib.html,centre
9,"Pārdod siltu, saulainu dzīvokli, Vesetas ielā. Divus gadus atpak",Vesetas 10,3,86,5/7,Specpr.,"1,627 €","139,900  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/cjnmm.html,centre
10,"Pagalma ēka, ķieģeļu mūra sienas, platība 53 m², 4/4 stāvs, vien",Bruņinieku 104A,2,53,4/4,Renov.,"1,358 €","72,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/cxelh.html,centre
11,"Īpašnieks pārdod gaišu, plašu dzīvokli prestižajā Klusajā centrā",Eksporta 6,5,132,3/5,Renov.,"1,286 €","169,800  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/dcxdg.html,centre
12,Pārdod elegantu dzīvokli pilnībā renovētā ēkā Miera Rezidence. T,Miera 105,4,86,2/5,Renov.,640 €,"55,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/aefkc.html,centre
13,"Divistabu dzīvoklis Rīgas centrā. 
- Dzīvoklis atrodas pagalma ",Ādmiņu 6,2,33,2/3,P. kara,"1,718 €","56,700  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/hbefk.html,centre
14,"Burvīgs, saulains dzīvoklis ar ērtu plānojumu. 
Dzīvoklis sastā",Barona 36,4,130,3/5,P. kara,"2,000 €","260,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/beidgk.html,centre
15,"Pārdodam 2 istabu dzīvokli pilsētas klusajā centrā, Valkas ielā ",Valkas 3,2,71,3/2,P. kara,"1,620 €","115,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/afmxj.html,centre
16,"Piedāvājumā dzīvoklis aktīvajā centrā, Dzirnavu ielā, posmā star",Dzirnavu 63,5,141,3/6,P. kara,"1,206 €","170,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/emcjc.html,centre
17,Pārdod dzīvokli bez apdares jaunajā premium klases projektā. Ņem,Klijānu 16,3,84,7/9,Jaun.,"1,250 €","105,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bfjjj.html,centre
18,"AS ""Privatbank"" meitas uzņēmuma īpašums atrodas 1898.gadā celtas",Skolas 4,4,121,5/5,P. kara,"2,273 €","275,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/dljfd.html,centre
19,Projekta attīstītājs piedāvā iegādāties dzīvokli inovatīvā un mū,Pulkv. Brieža 35,1,37,6/7,Jaun.,"2,270 €","84,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/epngp.html,centre
20,"Bez parādiem un apgrūtinājumiem. 

Autostāvvieta ir bezmaksas,",Klusā 17a,2,56,6/7,Specpr.,"1,195 €","66,900  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ggfpg.html,centre
21,"Ļoti augsts 1 stāvs. Gaišs dzīvoklis, siltā ķieģeļu mājā. 
Zem ",Upes 7,2,51,1/2,Specpr.,"1,055 €","53,800  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bimngl.html,centre
22,Piedāvājam iegādei plašu 3 istabu dzīvokli jaunajā projektā Club,Lāčplēša 11,3,101,4/7,Jaun.,"4,389 €","443,330  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/cjigi.html,centre
23,Piedāvājam iegādei gaišu 2 istabu dzīvokli jaunajā projektā Club,Lāčplēša 11,2,50,3/7,Jaun.,"3,644 €","182,210  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bcnfeg.html,centre
24,Gaišs un plašs 2-istabu dzīvoklis jaunajā projektā Lāčplēša ielā,Lāčplēša 11,2,58,3/7,Jaun.,"3,668 €","212,750  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bcmfdc.html,centre
25,Piedāvājumā mebelēts divistabu dzīvoklis greznajā renovētajā nam,Lāčplēša 13,2,61,5/6,Renov.,"2,416 €","147,360  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bcjeji.html,centre
26,Īpašnieks pārdot labu investīciju objektu centrā. Ēka atrodas sk,Vagonu 22,1,381,1/5,Renov.,696 €,"265,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/dbidk.html,centre
27,"Mansarda divu līmeņu dzīvoklis vēsturiskā mājā, pašā Rīgas centr",Tērbatas 65,2,74,6/6,P. kara,"1,486 €","110,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/behxxk.html,centre
28,"Pārdod remontējamu, divstāvu dzīvokli Vecrīgā. 
+ Ir jauns vērt",Grēcinieku 26,6,176,4/4,P. kara,682 €,"120,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/hhccl.html,centre
29,В стоимость квартиры входят 4 парковочных места в закрытом дворе,Ģertrūdes 41,4,81,2/2,P. kara,"1,272 €","103,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/aexkd.html,centre
0,Pārdod 4 istabu dzīvokli pirmskara ēkas mansarda stāvā. Logi vēr,Miera 78,4,127,7/7,P. kara,983 €,"124,900  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/cmlhg.html,centre
1,"Pārdod 4-istabu dzīvokli fasādes ēkā, Rīgas centrā ar kopējo pla",Stabu 60,4,123,3/5,P. kara,"1,325 €","163,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/jmjhg.html,centre
2,Īpašnieks pārdod skaistu dizaina veidotu dzīvokli tikko pēc remo,Stabu 6,3,70,5/5,P. kara,"1,971 €","138,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ajkgm.html,centre
3,Attīstītājs piedāvā Jums iegādāties pārdomāti izplānotu dzīvokli,Barona 92a,1,32,1/2,Renov.,"1,906 €","61,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/fpilo.html,centre
4,Piedāvājumā dzīvoklis arhitekta Eižena Laubes projektētā ēkā - Ģ,Ģertrūdes 99,3,55,2/6,Renov.,"2,105 €","115,794  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ahllp.html,centre
5,"Liels, saulains 3 - istabu dzīvoklis sakoptas fasādes mājas sēta",Cēsu 8,3,87,4/6,P. kara,"1,552 €","135,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bcbcgo.html,centre
6,Piedāvājumā dzīvoklis arhitekta Eižena Laubes projektētā ēkā - Ģ,Ģertrūdes 99,3,64,3/6,Renov.,"2,015 €","128,942  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/aegmo.html,centre
7,"Piedāvājam iegādāties studijas dzīvokli - Nr. 45A. 
Dzīvokli va",Blaumaņa 12,1,37,6/7,Renov.,"2,770 €","102,480  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/aemmo.html,centre
8,"Piedāvājam kompaktu 1 istabu dzīvokli - 41.10 m2, kas izvietots ",Briāna 4,1,41,1/5,Renov.,"1,426 €","58,485  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/cnopc.html,centre
9,Tiek pārdots plašs īpašums Alfrēda Kalniņa ielā 4 ar kopējo plat,Kalniņa 4,6,209,4/6,P. kara,809 €,"169,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/gxcex.html,centre
10,"Pārdod remontējamu bēniņu dzīvokli. 
Izbūvēti 3 jumta logi. 
K",Čaka 36,1,48,5/5,P. kara,"1,450 €","69,600  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/flenm.html,centre
11,"Īpašnieks pārdod dzīvokli Rīgas centrā. 
Dzīvoklis atrodas paga",Čaka 36,2,54,1/5,P. kara,"1,343 €","72,495  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/dpixb.html,centre
12,"Trīsistabu dzīvoklis, iespējams, vislabāk apsaimniekotajā centra",Matīsa 17,3,61,4/5,P. kara,"1,631 €","99,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/cbdhf.html,centre
13,Снижена цена. Продаётся красивая и солнечная квартира в центре Р,Blaumaņa 21,2,80,1/5,P. kara,"1,360 €","108,800  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/anghj.html,centre
14,"Продаётся 2 комнатная, студио типа квартира, с косметическим рем",Tomsona 4,2,37,1/6,Renov.,"1,216 €","45,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/aahfj.html,centre
15,"Plašs, saulains divu istabu dzīvoklis ar pelēko apdari jaunajā p",Birznieka-Upīša 13,2,55,4/7,Jaun.,"2,182 €","120,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/dmdxb.html,centre
16,"Благоустроенная, с очень качественным ремонтом, полностью оборуд",Eksporta 16,2,43,1/5,Hrušč.,"1,395 €","60,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/dcddl.html,centre
17,Piedāvājumā dzīvoklis Eižena Laubes projektētā ēkā Ģertrūdes iel,Ģertrūdes 99,2,42,2/6,Renov.,"2,153 €","90,429  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/aclke.html,centre
18,"Квартира в Тихом центре в новом доме (Архитектор - Э. Лаубе)
На",Valdemāra 37,3,110,6/6,Renov.,"2,609 €","287,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/copml.html,centre
19,Rīgas centrā - jauns 3-istabu dzīvoklis augšējā stāvā. Ļoti labā,Ģertrūdes 113,3,68,6/6,P. kara,"1,321 €","89,800  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/belcjx.html,centre
